contest_id,mode,c_i_mean,c_i_sd,c_i_q025,c_i_q975,c_i_rhat,c_j_mean,c_j_sd,c_j_q025,c_j_q975,c_j_rhat,sigma_mean,sigma_sd,sigma_q025,sigma_q975,sigma_rhat,lambda_mean,lambda_sd,lambda_q025,lambda_q975,lambda_rhat,mu_0_mean,mu_0_sd,mu_0_q025,mu_0_q975,mu_0_rhat,r_mean,r_sd,r_q025,r_q975,r_rhat,divergences,max_treedepth
2445,early,2.4066647590000003,0.8045002630593728,1.10607375,4.205058749999999,1.000583019857175,3.8940939749999997,0.7801097411141846,2.1663955,4.956232,0.9995600739049553,1.1932771195,0.38717260554173666,0.618111875,2.1068214999999992,1.001606162904954,3.8655166405,2.7949159133005774,0.84313065,11.419014999999993,1.0016125271868885,-0.25666410541100004,0.840960256622268,-2.0193950000000003,1.3557047499999995,0.9988874017358924,2.0760531028058202,0.6971789641271485,1.0344730613426616,3.7137129274744325,0.9991362384756405,0,5
2445,full,3.00298474,0.7456082741137908,1.718227,4.583260749999998,1.0033737059988022,4.053381795,0.7068752910120354,2.453218,4.971053249999999,1.004713836649974,0.6439703655000001,0.12395314337455555,0.506380925,0.9654443999999992,0.9995550777123634,14.475204834999998,8.46103753769563,4.346703,38.55330749999999,0.9993453953916763,-0.2273830589365,0.6242410309689392,-1.45917275,0.9860306499999977,0.999471797769948,1.849435853679142,0.49342271317088826,1.0587970818008061,2.9362235649705397,1.003345177601592,0,6
2454,early,0.5935588855,0.26581722005142994,0.25094520000000003,1.2456609999999986,0.9984432588511013,0.6921083109999999,0.3146555394606027,0.268575825,1.439941499999999,0.9991148341009652,0.975490208,0.20009891663352325,0.6548736000000001,1.4457629999999995,1.0019695337788155,3.7030111365,2.462243469748054,0.9742687250000001,10.658912499999992,1.000446889260312,4.302923344999999,0.7873236503256726,2.7337902499999998,5.84794375,1.0021554563182549,17.341589676047654,6.434155216620059,8.173383941223111,32.42725929484381,0.9995212612444204,0,5
2454,full,0.575721034,0.23936212927700126,0.24337372499999999,1.1916074999999997,1.0013852350251724,0.8203680425,0.37524041354241205,0.32502057500000003,1.7927564999999985,1.0014151897077903,0.7773245035,0.12125534869906174,0.5772892000000001,1.04452075,1.0004060055746962,7.693200262,4.364840965738253,2.37008175,18.496912499999997,1.0014905411496446,4.321477755,0.7032728542402767,2.97086525,5.638744999999999,0.9996337519600447,16.522139354618407,6.432123617537363,7.581134546087706,32.78208460957677,1.0027021375334149,0,5
2464,early,0.9966685205000001,0.4673061575273603,0.38078315,2.1516274999999996,1.0013209967732764,1.0105265105,0.4525882850864035,0.3918647,2.14822225,0.999973358650706,2.316442455,0.44805525373007354,1.6495772499999999,3.335298249999998,1.000031267672983,2.1340921440000002,1.0683606744305445,0.674780975,4.685795749999999,1.0014731959422007,-0.8287185452105001,0.928469228286286,-2.55448175,1.0262547499999979,0.9996862090211417,11.462955274765989,4.577934959492122,5.103636561017906,22.117691696167135,1.001270554847492,0,5
2464,full,1.1316980344999998,0.5449320986121319,0.44439612500000003,2.55270975,1.0082986589748213,1.0625987545,0.5000522369820073,0.41036852500000004,2.3160074999999996,1.005369508449101,1.9447988049999998,0.34629478271971037,1.3772547499999999,2.73047525,1.0008456385034363,2.819408996,1.3579075317040985,1.0076735,6.17146575,1.000663329885596,-0.793317176055,0.9239731884011363,-2.649111,0.9917814749999997,1.000789872479928,10.994120898211177,4.541436493084774,4.725916357798772,22.48127080237867,1.0077385965463197,0,5
2478,early,3.314159736,0.9600392859765835,1.479247,4.9049075,0.9989118871300154,1.683627637,0.7024393748237022,0.6984281999999999,3.4166022499999995,1.00497909578712,0.93628114,0.29602223990312965,0.53889915,1.6499394999999994,1.0009067154968407,2.91597551,2.207063710828861,0.627043625,8.403437749999998,1.0011270981522347,0.0722294248225,0.8163170771070838,-1.5606972499999998,1.69176025,0.9991413153900568,4.003116429159284,1.4819316082136587,1.8420681813006772,7.512470056648343,1.0011168600883826,0,5
2478,full,2.6278701485,0.9073154497919216,1.171573,4.6142259999999995,0.9992431314133553,2.3432916765,0.8620374305365411,1.06732975,4.39503725,1.001183692449279,0.5975652055,0.09008302276492781,0.5020886,0.821305725,1.0022397446793823,9.9098596435,6.033941224934655,2.912995,25.61074499999997,1.0021594971428263,0.048575520684,0.6241437862437113,-1.1744377499999998,1.303847999999998,1.0004671498469326,4.360769525623695,1.4925126218958462,2.1139983549049055,7.764297641714097,0.9994647315266405,0,6
2489,early,2.198426446,0.8416446016422097,0.949977325,4.230868249999999,1.0013041861680683,1.3579073765000003,0.5560988089779136,0.596806575,2.690506249999998,1.0027383071388674,0.6006587449999999,0.09308522244673939,0.502655175,0.8537306999999997,1.0006878384840727,9.448761614999999,5.873642771049121,2.7414375,24.656652499999957,1.0010499800761978,0.27005660799744996,0.6546679646233085,-1.0127922500000002,1.5298344999999995,1.0037485127542725,6.5627762505041805,2.3516693371658866,3.0823342041838537,11.918782776924118,1.0006892302698758,0,5
2489,full,2.1189547,0.8379625967778743,0.835747025,4.264821749999999,1.008182849779745,1.328583221,0.514687433498222,0.595095375,2.5504702499999996,1.0044511558200908,0.571400056,0.06672563018124598,0.5013319,0.7445643999999999,1.001161440750407,9.712524675000001,4.641351049874786,3.6178102500000002,22.1824425,1.0053631761061834,0.26115254605300003,0.6248144752243896,-0.9236831499999999,1.4979899999999997,1.0020967285761422,7.033332019143144,2.5012495476265064,3.3203070383718636,12.757923161701031,1.0034336196458356,0,5
2549,early,0.8773996135,0.40711438682829354,0.3286539,1.8523802499999997,1.0009831680171195,1.526281397,0.6998734340415551,0.5709152,3.251729749999996,0.9998990227156469,1.1717507615,0.3296963827196104,0.661314775,1.9751337499999997,1.001431231916513,3.2749186784999997,2.2919769788115376,0.8957806500000001,9.38912525,1.0005401177329327,-2.970253535,0.8301145545651125,-4.66342775,-1.2632952500000003,0.9993988855597499,9.779807738078311,3.9564149873542456,4.398477024871108,19.39764181163109,1.00152193105326,0,5
2549,full,0.978674645,0.4422426514372343,0.37848565,2.103374,0.9990586127411606,1.4685249734999999,0.6761751914603655,0.577153175,3.120153249999999,1.0009106087866524,0.913752972,0.24093127616151377,0.5566719499999999,1.4808974999999995,0.9996019621847628,3.7168353534999996,1.9719838226486583,1.29067475,8.541686749999998,1.000716627265723,-2.9896295675,0.7706784305641712,-4.47244975,-1.384455250000002,1.000688350739618,9.835341674771042,3.91439554809942,4.339130597945717,19.53505964967677,0.9988345173429182,0,5
2551,early,1.8577338835000001,0.5740189741299973,0.9783412499999999,3.1951275,1.0046776505291708,3.433997365,0.8772139845827132,1.7841135,4.88391075,1.0051064696243643,0.533053786,0.03309456673429748,0.500586,0.6181042,0.9997440030736773,22.467582,11.38151801752674,7.89049175,51.953219999999995,1.0011241421405042,-0.026299138424499994,0.5627260076196303,-1.1361475,1.0748869999999997,0.9996684867183797,3.633016739447853,1.0390861437145509,1.9340104860671135,5.9411787979484005,1.0047735981769101,0,5
2551,full,1.9811864815,0.6115215117875733,0.9793186,3.3508749999999967,1.0042479987701585,2.9218970465000003,0.890078142940191,1.339382,4.69544875,1.0030570215345835,0.520804846,0.020875245280955478,0.50045255,0.578756575,0.9987447011219134,46.94191075,19.05698470912913,18.936542499999998,90.70752249999997,1.0041948305814457,-0.017693438155499997,0.5187291786775322,-1.04171875,0.9876871249999993,1.0006621358969052,4.866951765643264,1.456212723786852,2.356138731198573,8.012613607709634,1.0036760403271716,0,6
2667,early,4.1412617,0.5279205443616393,2.90777925,4.93269975,1.007578743740751,4.25790135,0.5275680045057382,2.99350025,4.96466075,1.0077048779771878,0.639601279,0.0761875073338604,0.51793075,0.8097446499999998,1.0018607084087559,20.76656472,6.8329301489243806,11.038635,37.29049999999999,0.9998825879358432,0.051500897807,0.6321839170564972,-1.2006284999999999,1.2754924999999995,1.0006961368011775,0.8536260256320921,0.1477066047741525,0.5756398927468597,1.1550132624157161,1.0037148600863282,5,6
2667,full,3.2412622449999997,0.7673983679180271,1.8547955,4.7912675,1.0049390439670616,3.683959765,0.782071222656574,2.07997625,4.91203125,1.003607443080984,1.9272181300000002,0.14473949730893682,1.6601382500000001,2.2229152500000002,1.000128801397944,14.65301775,8.16541965918645,5.05562775,36.64288249999999,1.000398548547784,0.089864759445,0.8794277026678814,-1.61974475,1.8298329999999994,1.004146154326268,2.2930958532172765,0.531423333616962,1.298616153348114,3.316833319073876,1.0030783170216198,0,5
